% 
% 
@RELATION GCH 
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE 4 REAL
@ATTRIBUTE 5 REAL
@ATTRIBUTE 6 REAL
@ATTRIBUTE 7 REAL
@ATTRIBUTE 8 REAL
@ATTRIBUTE 9 REAL
@ATTRIBUTE 10 REAL
@ATTRIBUTE 11 REAL
@ATTRIBUTE 12 REAL
@ATTRIBUTE 13 REAL
@ATTRIBUTE 14 REAL
@ATTRIBUTE 15 REAL
@ATTRIBUTE 16 REAL
@ATTRIBUTE 17 REAL
@ATTRIBUTE 18 REAL
@ATTRIBUTE 19 REAL
@ATTRIBUTE 20 REAL
@ATTRIBUTE 21 REAL
@ATTRIBUTE 22 REAL
@ATTRIBUTE 23 REAL
@ATTRIBUTE 24 REAL
@ATTRIBUTE 25 REAL
@ATTRIBUTE 26 REAL
@ATTRIBUTE 27 REAL
@ATTRIBUTE 28 REAL
@ATTRIBUTE 29 REAL
@ATTRIBUTE 30 REAL
@ATTRIBUTE 31 REAL
@ATTRIBUTE 32 REAL
@ATTRIBUTE 33 REAL
@ATTRIBUTE 34 REAL
@ATTRIBUTE 35 REAL
@ATTRIBUTE 36 REAL
@ATTRIBUTE 37 REAL
@ATTRIBUTE 38 REAL
@ATTRIBUTE 39 REAL
@ATTRIBUTE 40 REAL
@ATTRIBUTE 41 REAL
@ATTRIBUTE 42 REAL
@ATTRIBUTE 43 REAL
@ATTRIBUTE 44 REAL
@ATTRIBUTE 45 REAL
@ATTRIBUTE 46 REAL
@ATTRIBUTE 47 REAL
@ATTRIBUTE 48 REAL
@ATTRIBUTE 49 REAL
@ATTRIBUTE 50 REAL
@ATTRIBUTE 51 REAL
@ATTRIBUTE 52 REAL
@ATTRIBUTE 53 REAL
@ATTRIBUTE 54 REAL
@ATTRIBUTE 55 REAL
@ATTRIBUTE 56 REAL
@ATTRIBUTE 57 REAL
@ATTRIBUTE 58 REAL
@ATTRIBUTE 59 REAL
@ATTRIBUTE 60 REAL
@ATTRIBUTE 61 REAL
@ATTRIBUTE 62 REAL
@ATTRIBUTE 63 REAL
@ATTRIBUTE 64 REAL
@ATTRIBUTE 65 REAL
@ATTRIBUTE 66 REAL
@ATTRIBUTE class {C02, C01, C03} 

@DATA 
30688.0,302.0,303.0,293.0,294.0,274.0,294.0,272.0,274.0,270.0,265.0,272.0,260.0,257.0,278.0,252.0,265.0,264.0,259.0,267.0,272.0,3825.0,30688.0,302.0,303.0,293.0,294.0,274.0,294.0,272.0,274.0,270.0,265.0,272.0,260.0,257.0,278.0,252.0,265.0,264.0,259.0,267.0,272.0,3825.0,30688.0,302.0,303.0,293.0,294.0,274.0,294.0,272.0,274.0,270.0,265.0,272.0,260.0,257.0,278.0,252.0,265.0,264.0,259.0,267.0,272.0,3825.0,C01
31538.0,316.0,327.0,307.0,311.0,317.0,299.0,295.0,305.0,292.0,295.0,293.0,307.0,300.0,302.0,308.0,307.0,319.0,332.0,342.0,363.0,2225.0,31538.0,316.0,327.0,307.0,311.0,317.0,299.0,295.0,305.0,292.0,295.0,293.0,307.0,300.0,302.0,308.0,307.0,319.0,332.0,342.0,363.0,2225.0,31538.0,316.0,327.0,307.0,311.0,317.0,299.0,295.0,305.0,292.0,295.0,293.0,307.0,300.0,302.0,308.0,307.0,319.0,332.0,342.0,363.0,2225.0,C01
34435.0,324.0,315.0,319.0,318.0,332.0,337.0,344.0,357.0,357.0,402.0,395.0,389.0,408.0,401.0,398.0,169.0,0.0,0.0,0.0,0.0,0.0,34435.0,324.0,315.0,319.0,318.0,332.0,337.0,344.0,357.0,357.0,402.0,395.0,389.0,408.0,401.0,398.0,169.0,0.0,0.0,0.0,0.0,0.0,34435.0,324.0,315.0,319.0,318.0,332.0,337.0,344.0,357.0,357.0,402.0,395.0,389.0,408.0,401.0,398.0,169.0,0.0,0.0,0.0,0.0,0.0,C01
34452.0,322.0,313.0,318.0,321.0,317.0,343.0,340.0,354.0,356.0,398.0,393.0,395.0,395.0,405.0,396.0,182.0,0.0,0.0,0.0,0.0,0.0,34452.0,322.0,313.0,318.0,321.0,317.0,343.0,340.0,354.0,356.0,398.0,393.0,395.0,395.0,405.0,396.0,182.0,0.0,0.0,0.0,0.0,0.0,34452.0,322.0,313.0,318.0,321.0,317.0,343.0,340.0,354.0,356.0,398.0,393.0,395.0,395.0,405.0,396.0,182.0,0.0,0.0,0.0,0.0,0.0,C01
35934.0,403.0,406.0,436.0,452.0,464.0,506.0,467.0,470.0,456.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35934.0,403.0,406.0,436.0,452.0,464.0,506.0,467.0,470.0,456.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35934.0,403.0,406.0,436.0,452.0,464.0,506.0,467.0,470.0,456.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C01
30632.0,394.0,387.0,379.0,376.0,363.0,358.0,355.0,350.0,352.0,349.0,354.0,335.0,351.0,356.0,364.0,354.0,376.0,401.0,421.0,416.0,1977.0,30632.0,394.0,387.0,379.0,376.0,363.0,358.0,355.0,350.0,352.0,349.0,354.0,335.0,351.0,356.0,364.0,354.0,376.0,401.0,421.0,416.0,1977.0,30632.0,394.0,387.0,379.0,376.0,363.0,358.0,355.0,350.0,352.0,349.0,354.0,335.0,351.0,356.0,364.0,354.0,376.0,401.0,421.0,416.0,1977.0,C01
27764.0,211.0,227.0,223.0,222.0,206.0,206.0,206.0,197.0,195.0,191.0,188.0,182.0,194.0,185.0,179.0,175.0,178.0,174.0,168.0,187.0,8342.0,27764.0,211.0,227.0,223.0,222.0,206.0,206.0,206.0,197.0,195.0,191.0,188.0,182.0,194.0,185.0,179.0,175.0,178.0,174.0,168.0,187.0,8342.0,27764.0,211.0,227.0,223.0,222.0,206.0,206.0,206.0,197.0,195.0,191.0,188.0,182.0,194.0,185.0,179.0,175.0,178.0,174.0,168.0,187.0,8342.0,C01
26455.0,244.0,260.0,243.0,237.0,246.0,218.0,218.0,225.0,211.0,212.0,220.0,202.0,197.0,199.0,189.0,195.0,188.0,190.0,182.0,198.0,9271.0,26455.0,244.0,260.0,243.0,237.0,246.0,218.0,218.0,225.0,211.0,212.0,220.0,202.0,197.0,199.0,189.0,195.0,188.0,190.0,182.0,198.0,9271.0,26455.0,244.0,260.0,243.0,237.0,246.0,218.0,218.0,225.0,211.0,212.0,220.0,202.0,197.0,199.0,189.0,195.0,188.0,190.0,182.0,198.0,9271.0,C01
35900.0,419.0,429.0,453.0,479.0,517.0,499.0,525.0,489.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35900.0,419.0,429.0,453.0,479.0,517.0,499.0,525.0,489.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35900.0,419.0,429.0,453.0,479.0,517.0,499.0,525.0,489.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C01
34159.0,359.0,367.0,354.0,369.0,369.0,381.0,386.0,404.0,421.0,459.0,458.0,460.0,449.0,451.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,34159.0,359.0,367.0,354.0,369.0,369.0,381.0,386.0,404.0,421.0,459.0,458.0,460.0,449.0,451.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,34159.0,359.0,367.0,354.0,369.0,369.0,381.0,386.0,404.0,421.0,459.0,458.0,460.0,449.0,451.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,C01
29751.0,367.0,351.0,358.0,339.0,332.0,325.0,320.0,316.0,309.0,313.0,311.0,296.0,310.0,292.0,296.0,309.0,287.0,296.0,309.0,307.0,3906.0,29751.0,367.0,351.0,358.0,339.0,332.0,325.0,320.0,316.0,309.0,313.0,311.0,296.0,310.0,292.0,296.0,309.0,287.0,296.0,309.0,307.0,3906.0,29751.0,367.0,351.0,358.0,339.0,332.0,325.0,320.0,316.0,309.0,313.0,311.0,296.0,310.0,292.0,296.0,309.0,287.0,296.0,309.0,307.0,3906.0,C01
30755.0,236.0,248.0,237.0,226.0,236.0,234.0,222.0,222.0,223.0,227.0,211.0,218.0,216.0,206.0,222.0,205.0,215.0,208.0,208.0,228.0,4797.0,30755.0,236.0,248.0,237.0,226.0,236.0,234.0,222.0,222.0,223.0,227.0,211.0,218.0,216.0,206.0,222.0,205.0,215.0,208.0,208.0,228.0,4797.0,30755.0,236.0,248.0,237.0,226.0,236.0,234.0,222.0,222.0,223.0,227.0,211.0,218.0,216.0,206.0,222.0,205.0,215.0,208.0,208.0,228.0,4797.0,C01
38008.0,483.0,485.0,474.0,464.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38008.0,483.0,485.0,474.0,464.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38008.0,483.0,485.0,474.0,464.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C01
